,Topic,Persian,URL
0,Position time graph constant velocity 2,نمودار زمان سرعت ثابت 2,https://brilliant.org/wiki/position-time-graph-constant-velocity-2
1,Hessian matrix,ماتریس هسی,https://brilliant.org/wiki/hessian-matrix
2,Brouwer fixed point theorem,قضیه نقطه ثابت بروور,https://brilliant.org/wiki/brouwer-fixed-point-theorem
3,Binomial heap,پشته دو جمله ای,https://brilliant.org/wiki/binomial-heap
4,Jee binomial theorem,قضیه دو جمله ای جی,https://brilliant.org/wiki/jee-binomial-theorem
5,Uniform circular motion easy,حرکت دایره ای یکنواخت آسان است,https://brilliant.org/wiki/uniform-circular-motion-easy
6,Clocks,ساعت ها,https://brilliant.org/wiki/clocks
7,Thermal expansion,انبساط حرارتی,https://brilliant.org/wiki/thermal-expansion
8,Electric field lines,خطوط میدان الکتریکی,https://brilliant.org/wiki/electric-field-lines
9,Cubic equations,معادلات مکعبی,https://brilliant.org/wiki/cubic-equations
10,Discrete random variables joint probability,متغیرهای تصادفی گسسته احتمال مشترک,https://brilliant.org/wiki/discrete-random-variables-joint-probability
11,Angular kinematics problem solving,حل مسئله سینماتیک زاویه ای,https://brilliant.org/wiki/angular-kinematics-problem-solving
12,Cuckoo filter,فیلتر فاخته,https://brilliant.org/wiki/cuckoo-filter
13,Jee series,سری جی,https://brilliant.org/wiki/jee-series
14,Derivative of logarithmic functions,مشتق توابع لگاریتمی,https://brilliant.org/wiki/derivative-of-logarithmic-functions
15,Terms in physics stress and strain,اصطلاحات در تنش و کرنش فیزیک,https://brilliant.org/wiki/terms-in-physics-stress-and-strain
16,Conics ellipse general,مخروط بیضی کلی,https://brilliant.org/wiki/conics-ellipse-general
17,Feature vector,بردار ویژگی,https://brilliant.org/wiki/feature-vector
18,Cryptic cryptograms,کریپتوگرام های رمزی,https://brilliant.org/wiki/cryptic-cryptograms
19,Chain rule,قاعده زنجیره ای,https://brilliant.org/wiki/chain-rule
20,Bases,پایه ها,https://brilliant.org/wiki/bases
21,General diophantine equations problem solving,حل مسئله معادلات دیوفانتین عمومی,https://brilliant.org/wiki/general-diophantine-equations-problem-solving
22,Sat algebra perfect score,سات جبر نمره کامل,https://brilliant.org/wiki/sat-algebra-perfect-score
23,Linearity of expectation,خطی بودن انتظار,https://brilliant.org/wiki/linearity-of-expectation
24,Logic puzzles,پازل های منطقی,https://brilliant.org/wiki/logic-puzzles
25,Rule of sum and rule of product problem solving,قاعده جمع و قاعده حل مسئله محصول,https://brilliant.org/wiki/rule-of-sum-and-rule-of-product-problem-solving
26,Chain reaction game,بازی واکنش زنجیره ای,https://brilliant.org/wiki/chain-reaction-game
27,Pattern matching,تطبیق الگو,https://brilliant.org/wiki/pattern-matching
28,Types of matrices,انواع ماتریس ها,https://brilliant.org/wiki/types-of-matrices
29,Factoring polynomials,فاکتورگیری چند جمله ای ها,https://brilliant.org/wiki/factoring-polynomials
30,Multiple scenarios,سناریوهای متعدد,https://brilliant.org/wiki/multiple-scenarios
31,How a sign language interpreter uses math,چگونه یک مترجم زبان اشاره از ریاضیات استفاده می کند,https://brilliant.org/wiki/how-a-sign-language-interpreter-uses-math
32,Rank nullity theorem,قضیه بی اعتباری رتبه,https://brilliant.org/wiki/rank-nullity-theorem
33,Trigonometric graphs amplitude and periodicity,نمودارهای مثلثاتی دامنه و تناوب,https://brilliant.org/wiki/trigonometric-graphs-amplitude-and-periodicity
34,Cauchy integral formula,فرمول انتگرال کوشی,https://brilliant.org/wiki/cauchy-integral-formula
35,New york new york,نیویورک، نیویورک,https://brilliant.org/wiki/new-york-new-york
36,Max flow min cut algorithm,الگوریتم برش حداکثر جریان حداقل,https://brilliant.org/wiki/max-flow-min-cut-algorithm
37,Abundant number,تعداد فراوان,https://brilliant.org/wiki/abundant-number
38,Volume of revolution,حجم انقلاب,https://brilliant.org/wiki/volume-of-revolution
39,Thermometry,دماسنج,https://brilliant.org/wiki/thermometry
40,Ergodic markov chains,زنجیر مارکوف ارگودیک,https://brilliant.org/wiki/ergodic-markov-chains
41,Soumavas algorithm,الگوریتم Soumavas,https://brilliant.org/wiki/soumavas-algorithm
42,3sat,3 شنبه,https://brilliant.org/wiki/3sat
43,Secure hashing algorithms,الگوریتم های هش ایمن,https://brilliant.org/wiki/secure-hashing-algorithms
44,Absorbing markov chains,جاذب زنجیر مارکوف,https://brilliant.org/wiki/absorbing-markov-chains
45,Open sets,مجموعه ها را باز کنید,https://brilliant.org/wiki/open-sets
46,Confidence intervals,فاصله اطمینان,https://brilliant.org/wiki/confidence-intervals
47,Birthday paradox,پارادوکس تولد,https://brilliant.org/wiki/birthday-paradox
48,Functions composition,ترکیب توابع,https://brilliant.org/wiki/functions-composition
49,Complex numbers in geometry,اعداد مختلط در هندسه,https://brilliant.org/wiki/complex-numbers-in-geometry
50,Extended euclidean algorithm,الگوریتم اقلیدسی توسعه یافته,https://brilliant.org/wiki/extended-euclidean-algorithm
51,Cevas theorem,قضیه سیواس,https://brilliant.org/wiki/cevas-theorem
52,Gaussian mixture model,مدل مخلوط گاوسی,https://brilliant.org/wiki/gaussian-mixture-model
53,Laws of motion,قوانین حرکت,https://brilliant.org/wiki/laws-of-motion
54,Order theory,تئوری نظم,https://brilliant.org/wiki/order-theory
55,Change of basis,تغییر مبنا,https://brilliant.org/wiki/change-of-basis
56,Sat prep on brilliant,آماده سازی نشسته در درخشان,https://brilliant.org/wiki/sat-prep-on-brilliant
57,Physics of traffic jams,فیزیک ترافیک,https://brilliant.org/wiki/physics-of-traffic-jams
58,Decimals percentages,درصدهای اعشاری,https://brilliant.org/wiki/decimals-percentages
59,3d coordinate geometry intersection of planes,تقاطع هندسی مختصات سه بعدی صفحات,https://brilliant.org/wiki/3d-coordinate-geometry-intersection-of-planes
60,Jee quadratic expressions,عبارات درجه دوم جی,https://brilliant.org/wiki/jee-quadratic-expressions
61,How does addition in the denominator work,جمع در مخرج چگونه کار می کند,https://brilliant.org/wiki/how-does-addition-in-the-denominator-work
62,Stellar shortcuts intermediate,میانبرهای ستاره ای متوسط,https://brilliant.org/wiki/stellar-shortcuts-intermediate
63,Concentration terminology,اصطلاحات تمرکز,https://brilliant.org/wiki/concentration-terminology
64,Schrodinger equation,معادله شرودینگر,https://brilliant.org/wiki/schrodinger-equation
65,Linear recurrence relations,روابط عود خطی,https://brilliant.org/wiki/linear-recurrence-relations
66,Problems based on java,مشکلات مبتنی بر جاوا,https://brilliant.org/wiki/problems-based-on-java
67,Simplex coordinate sets,مجموعه مختصات ساده,https://brilliant.org/wiki/simplex-coordinate-sets
68,Angle bisector theorem,قضیه نیمساز زاویه,https://brilliant.org/wiki/angle-bisector-theorem
69,Sat geometry perfect score,نمره کامل هندسه نشست,https://brilliant.org/wiki/sat-geometry-perfect-score
70,Aldehydes and ketones,آلدهیدها و کتون ها,https://brilliant.org/wiki/aldehydes-and-ketones
